Date,Invoice
2013-10-31,91.18
2013-11-30,330.42
2013-12-30,555.60
2014-01-31,653.30
2014-02-28,352.48
2014-03-31,326.53
2014-04-30,234.66
2014-05-31,260.68
2014-06-31,389.00
2014-07-31,468.78
2014-08-31,429.68
2014-09-30,599.01
2014-10-31,618.93
2014-11-30,539.32
2014-12-31,461.43
2015-01-31,460.90
2015-02-28,461.28
2015-03-31,458.40
2015-04-30,445.76
2015-05-31,459.90
2015-06-30,431.41
2015-07-31,447.07
2015-08-31,572.38
2015-09-30,580.23
2015-10-31,541.05
2015-11-30,560.49
2015-12-31,575.66
2016-01-31,571.17
2016-02-28,533.86
2016-03-31,561.38
2016-04-30,545.78
2016-05-31,560.03
2016-06-30,524.67
2016-07-31,469.72
2016-08-31,468.57
